Anserma,Anserma language,regular
Antakarinya,Antakarinya language,regular
Anuak,Anuak language,regular
Denya,Denya language,regular
Anaang,Anaang language,regular
Andra-Hus,Andra-Hus language,regular
Anem,Anem language,regular
Abom,Abom language,regular
Andarum,Andarum language,regular
Angal Enen,Angal Enen language,regular
Bragat,Bragat language,regular
Angoram,Angoram language,regular
Arhö,Arhö language,regular
Alor,Alor language,regular
Aore,Aore language,regular
Taikat,Taikat language,regular
Atong (India),Atong (India) language,regular
A'ou,A'ou language,regular
Atorada,Atorada language,regular
Uab Meto,Uab Meto language,regular
Proto-Apachean,Proto-Apachean language,reconstructed
Sudanese Arabic,Sudanese Arabic language,regular
Bukiyip,Bukiyip language,regular
Pahanan Agta,Pahanan Agta language,regular
Ampanang,Ampanang language,regular
Apiaká,Apiaká language,regular
Plains Apache,Plains Apache language,regular
Lipan,Lipan language,regular
Ambul,Ambul language,regular
Apma,Apma language,regular
Arop-Sissano,Arop-Sissano language,regular
Alapmunte,Alapmunte language,regular
Aputai,Aputai language,regular
Safeyoka,Safeyoka language,regular
Ampari Dogon,Ampari Dogon language,regular
Arigidi,Arigidi language,regular
Atohwaim,Atohwaim language,regular
Northern Alta,Northern Alta language,regular
Arhâ,Arhâ language,regular
Angaité,Angaité language,regular
Akuntsu,Akuntsu language,regular
Arhuaco,Arhuaco language,regular
Arapaso,Arapaso language,regular
Arikapú,Arikapú language,regular
Algerian Arabic,Algerian Arabic language,regular
Najdi Arabic,Najdi Arabic language,regular
Adûni,Adûni language,appendix-constructed
Belter Creole,Belter Creole language,appendix-constructed
Bolak,Bolak language,appendix-constructed
Black Speech,Black Speech language,appendix-constructed
Communicationssprache,Communicationssprache language,appendix-constructed
Dothraki,Dothraki language,appendix-constructed
Eloi,Eloi language,appendix-constructed
Goa'uld,Goa'uld language,appendix-constructed
Lapine,Lapine language,appendix-constructed
Mandalorian,Mandalorian language,appendix-constructed
Mundolinco,Mundolinco language,appendix-constructed
Na'vi,Na'vi language,appendix-constructed
High Valyrian,High Valyrian language,appendix-constructed
Arua,Arua language,regular
Aruá,Aruá language,regular
Assiniboine,Assiniboine language,regular
Casuarina Coast Asmat,Casuarina Coast Asmat language,regular
Cishingini,Cishingini language,regular
Abishira,Abishira language,regular
Buruwai,Buruwai language,regular
Nsari,Nsari language,regular
Ashkun,Ashkun language,regular
Asilulu,Asilulu language,regular
Xingú Asuriní,Xingú Asuriní language,regular
Dano,Dano language,regular
Algerian Sign Language,Algerian Sign Language,regular
Austrian Sign Language,Austrian Sign Language,regular
Asuri,Asuri language,regular
Ipulo,Ipulo language,regular
Tocantins Asurini,Tocantins Asurini language,regular
Asoa,Asoa language,regular
Australian Aboriginal Sign Language,Australian Aboriginal Sign Language,regular
Muratayak,Muratayak language,regular
Yaosakor Asmat,Yaosakor Asmat language,regular
As,As language,regular
Pele-Ata,Pele-Ata language,regular
Zaiwa,Zaiwa language,regular
Atsahuaca,Atsahuaca language,regular
Ata Manobo,Ata Manobo language,regular
Atemble,Atemble language,regular
Okpela,Okpela language,regular
Nicola,Nicola language,regular
Attié,Attié language,regular
Ati,Ati language,regular
Mount Iraya Agta,Mount Iraya Agta language,regular
Ata,Ata language,regular
Atong (Cameroon),Atong (Cameroon) language,regular
Pudtol Atta,Pudtol Atta language,regular
Waimiri-Atroari,Waimiri-Atroari language,regular
Gros Ventre,Gros Ventre language,regular
Pamplona Atta,Pamplona Atta language,regular
Reel,Reel language,regular
Northern Altai,Northern Altai language,regular
Arutani,Arutani language,regular
Aneityum,Aneityum language,regular
Arta,Arta language,regular
Asumboa,Asumboa language,regular
Alugu,Alugu language,regular
Huaorani,Huaorani language,regular
Anuta,Anuta language,regular
Aguna,Aguna language,regular
Aushi,Aushi language,regular
Anuki,Anuki language,regular
Awjila,Awjila language,regular
Heyo,Heyo language,regular
Asu,Asu language,regular
Molmo One,Molmo One language,regular
Auyokawa,Auyokawa language,regular
Makayam,Makayam language,regular
Anus,Anus language,regular
Aruek,Aruek language,regular
Alungul,Alungul language,regular
Andjingith,Andjingith language,regular
Angkula,Angkula language,regular
Proto-Arnhem,Proto-Arnhem language,reconstructed
Barranbinya,Barranbinya language,regular
Barunggam,Barunggam language,regular
Proto-Central New South Wales,Proto-Central New South Wales language,reconstructed
Proto-Daly,Proto-Daly language,reconstructed
Guwar,Guwar language,regular
Little Swanport,Little Swanport language,regular
Mbiywom,Mbiywom language,regular
Ngkoth,Ngkoth language,regular
Proto-Nyulnyulan,Proto-Nyulnyulan language,reconstructed
Proto-Pama-Nyungan,Proto-Pama-Nyungan language,reconstructed
Tulua,Tulua language,regular
Uwinymil,Uwinymil language,regular
Proto-Iwaidjan,Proto-Iwaidjan language,reconstructed
Wong-gie,Wong-gie language,regular
Wulguru,Wulguru language,regular
Yangkaal,Yangkaal language,regular
Austral,Austral language,regular
Auye,Auye language,regular
Aurá,Aurá language,regular
Uzbeki Arabic,Uzbeki Arabic language,regular
Avau,Avau language,regular
Alviri-Vidari,Alviri-Vidari language,regular
Kotava,Kotava language,appendix-constructed
Angkamuthi,Angkamuthi language,regular
Agavotaguerra,Agavotaguerra language,regular
Aushiri,Aushiri language,regular
Avá-Canoeiro,Avá-Canoeiro language,regular
Awa (New Guinea),Awa (New Guinea) language,regular
Cicipu,Cicipu language,regular
Amarizana,Amarizana language,regular
Proto-Amuesha-Chamicuro,Proto-Amuesha-Chamicuro language,reconstructed
Anauyá,Anauyá language,regular
Apolista,Apolista language,regular
Cabre,Cabre language,regular
Guinau,Guinau language,regular
Cariay,Cariay language,regular
Kawishana,Kawishana language,regular
Proto-Kampa,Proto-Kampa language,reconstructed
Kustenau,Kustenau language,regular
Manao,Manao language,regular
Marawan,Marawan language,regular
Mariaté,Mariaté language,regular
Proto-Nawiki,Proto-Nawiki language,reconstructed
Paikoneka,Paikoneka language,regular
Pasé,Pasé language,regular
Proto-Paresi-Waura,Proto-Paresi-Waura language,reconstructed
Shebayo,Shebayo language,regular
Proto-Ta-Arawak,Proto-Ta-Arawak language,reconstructed
Wainumá,Wainumá language,regular
Yumana,Yumana language,regular
Awetí,Awetí language,regular
Awbono,Awbono language,regular
Awabakal,Awabakal language,regular
Arawum,Arawum language,regular
Awak,Awak language,regular
Awera,Awera language,regular
South Awyu,South Awyu language,regular
Araweté,Araweté language,regular
Central Awyu,Central Awyu language,regular
Jair Awyu,Jair Awyu language,regular
Awun,Awun language,regular
Awara,Awara language,regular
Edera Awyu,Edera Awyu language,regular
Ayerrerenge,Ayerrerenge language,regular
Mato Grosso Arára,Mato Grosso Arára language,regular
Aka (Central Africa),Aka (Central Africa) language,regular
Lower Southern Aranda,Lower Southern Aranda language,regular
Xârâgurè,Xârâgurè language,regular
Awar,Awar language,regular
Ayizo,Ayizo language,regular
Ayabadhu,Ayabadhu language,regular
Ayere,Ayere language,regular
Nyanga (Togo),Nyanga (Togo) language,regular
Leyigha,Leyigha language,regular
Akuku,Akuku language,regular
Yemeni Arabic,Yemeni Arabic language,regular
North Mesopotamian Arabic,North Mesopotamian Arabic language,regular
Ayi,Ayi language,regular
Sorsogon Ayta,Sorsogon Ayta language,regular
Bataan Ayta,Bataan Ayta language,regular
Ayu,Ayu language,regular
Tayabas Ayta,Tayabas Ayta language,regular
Azha,Azha language,regular
Cazcan,Cazcan language,regular
Proto-Cupan,Proto-Cupan language,reconstructed
Kitanemuk,Kitanemuk language,regular
Proto-Nahuan,Proto-Nahuan language,reconstructed
Proto-Numic,Proto-Numic language,reconstructed
Proto-Uto-Aztecan,Proto-Uto-Aztecan language,reconstructed
Proto-Takic,Proto-Takic language,reconstructed
Tataviam,Tataviam language,regular
Eastern Durango Nahuatl,Eastern Durango Nahuatl language,regular
San Pedro Amuzgos Amuzgo,San Pedro Amuzgos Amuzgo language,regular
Ipalapa Amuzgo,Ipalapa Amuzgo language,regular
Western Durango Nahuatl,Western Durango Nahuatl language,regular
Awing,Awing language,regular
Faire Atta,Faire Atta language,regular
Highland Puebla Nahuatl,Highland Puebla Nahuatl language,regular
Babatana,Babatana language,regular
Bainouk-Gunyuño,Bainouk-Gunyuño language,regular
Badui,Badui language,regular
Nubaca,Nubaca language,regular
Bahamian Creole,Bahamian Creole language,regular
Barakai,Barakai language,regular
Bantawa,Bantawa language,regular
Bavarian,Bavarian language,regular
Basaa,Basaa language,regular
Badanchi,Badanchi language,regular
Bambili-Bambui,Bambili-Bambui language,regular
Bamum,Bamum language,regular
Batuley,Batuley language,regular
Baatonum,Baatonum language,regular
Bangba,Bangba language,regular
Baibai,Baibai language,regular
Barama,Barama language,regular
Bugan,Bugan language,regular
Barombi,Barombi language,regular
Ghomala',Ghomala' language,regular
Babanki,Babanki language,regular
Bats,Bats language,regular
Babango,Babango language,regular
Uneapa,Uneapa language,regular
Konabéré,Konabéré language,regular
West Central Banda,West Central Banda language,regular
Bamali,Bamali language,regular
Girawa,Girawa language,regular
Bakpinka,Bakpinka language,regular
Mburku,Mburku language,regular
Bakulung,Bakulung language,regular
Karnai,Karnai language,regular
Baba,Baba language,regular
Bubia,Bubia language,regular
Befang,Befang language,regular
Central Bai,Central Bai language,regular
Bainouk-Samik,Bainouk-Samik language,regular
North Babar,North Babar language,regular
Bamenyam,Bamenyam language,regular
Bamu,Bamu language,regular
Baga Pokur,Baga Pokur language,regular
Bariai,Bariai language,regular
Baoule,Baoule language,regular
Bunaba,Bunaba language,regular
Bikol Central,Bikol Central language,regular
Bibaali,Bibaali language,regular
Bali,Bali language,regular
Bench,Bench language,regular
Babine-Witsuwit'en,Babine-Witsuwit'en language,regular
Bendi,Bendi language,regular
Biliau,Biliau language,regular
Shoo-Minda-Nye,Shoo-Minda-Nye language,regular
Bacama,Bacama language,regular
Bainouk-Gunyaamolo,Bainouk-Gunyaamolo language,regular
Bayot,Bayot language,regular
Basap,Basap language,regular
Emberá-Baudó,Emberá-Baudó language,regular
Bunama,Bunama language,regular
Biage,Biage language,regular
Bonggi,Bonggi language,regular
Tara Baka,Tara Baka language,regular
Burun,Burun language,regular
Baldemu,Baldemu language,regular
Morom,Morom language,regular
Bende,Bende language,regular
Bokoto,Bokoto language,regular
Oroko,Oroko language,regular
Bodo Parja,Bodo Parja language,regular
Budong-Budong,Budong-Budong language,regular
Badeshi,Badeshi language,regular
Belarusian,Belarusian language,regular
Beaver,Beaver language,regular
Bebele,Bebele language,regular
Iceve-Maci,Iceve-Maci language,regular
Bedoanas,Bedoanas language,regular
Byangsi,Byangsi language,regular
Belait,Belait language,regular
Biali,Biali language,regular
Bekati',Bekati' language,regular
Bebeli,Bebeli language,regular
Beami,Beami language,regular
Besoa,Besoa language,regular
Fogaha,Fogaha language,regular
Proto-Berber,Proto-Berber language,reconstructed
Zuwara,Zuwara language,regular
Besme,Besme language,regular
Guiberoua Bété,Guiberoua Bété language,regular
Blagar,Blagar language,regular
Daloa Bété,Daloa Bété language,regular
Betawi,Betawi language,regular
Jur Modo,Jur Modo language,regular
Akuwagel,Akuwagel language,regular
Kibena,Kibena language,regular
Pauri Bareli,Pauri Bareli language,regular
Panyi Bai,Panyi Bai language,regular
Betaf,Betaf language,regular
Bofi,Bofi language,regular
Busang Kayan,Busang Kayan language,regular
Blafe,Blafe language,regular
Bafanji,Bafanji language,regular
Ban Khor Sign Language,Ban Khor Sign Language,regular
Banda-Ndélé,Banda-Ndélé language,regular
Mmen,Mmen language,regular
Bunak,Bunak language,regular
Malba Birifor,Malba Birifor language,regular
Beba,Beba language,regular
Bazigar,Bazigar language,regular
Southern Bai,Southern Bai language,regular
Gahri,Gahri language,regular
Bondo,Bondo language,regular
Bantayanon,Bantayanon language,regular
Bagheli,Bagheli language,regular
Mahasu Pahari,Mahasu Pahari language,regular
Gwamhi-Wuri,Gwamhi-Wuri language,regular
Bobongko,Bobongko language,regular
Haryanvi,Haryanvi language,regular
Rathwi Bareli,Rathwi Bareli language,regular
Bauria,Bauria language,regular
Bangandu,Bangandu language,regular
Giangan,Giangan language,regular
Bangolan,Bangolan language,regular
Bit,Bit language,regular
Bo,Bo language,regular
Baga Koga,Baga Koga language,regular
Bawm Chin,Bawm Chin language,regular
Tagabawa,Tagabawa language,regular
Bughotu,Bughotu language,regular
Mbongno,Mbongno language,regular
Warkay-Bipim,Warkay-Bipim language,regular
Bhatri,Bhatri language,regular
Balkan Gagauz Turkish,Balkan Gagauz Turkish language,regular
Benggoi,Benggoi language,regular
Bihari,Bihari language,regular
Bharia,Bharia language,regular
Biga,Biga language,regular
Bhadrawahi,Bhadrawahi language,regular
Bhaya,Bhaya language,regular
Odiai,Odiai language,regular
Bukhari,Bukhari language,regular
Bhilali,Bhilali language,regular
Bahing,Bahing language,regular
Bimin,Bimin language,regular
Bohtan Neo-Aramaic,Bohtan Neo-Aramaic language,regular
Tukang Besi South,Tukang Besi South language,regular
Buwal,Buwal language,regular
Bhattiyali,Bhattiyali language,regular
Bhunjia,Bhunjia language,regular
Bahau,Bahau language,regular
Bhalay,Bhalay language,regular
Bhele,Bhele language,regular
Bada,Bada language,regular
Bissa,Bissa language,regular
Bikaru,Bikaru language,regular
Bidiyo,Bidiyo language,regular
Bepour,Bepour language,regular
Biangai,Biangai language,regular
Kwanka,Kwanka language,regular
Bile,Bile language,regular
Edo,Edo language,regular
Bipi,Bipi language,regular
Bisorio,Bisorio language,regular
Berinomo,Berinomo language,regular
Biete,Biete language,regular
Southern Birifor,Southern Birifor language,regular
Kol (Cameroon),Kol (Cameroon) language,regular
Bijori,Bijori language,regular
Birhor,Birhor language,regular
Baloi,Baloi language,regular
Budza,Budza language,regular
Barngarla,Barngarla language,regular
Bariji,Bariji language,regular
Biao-Jiao Mien,Biao-Jiao Mien language,regular
Barzani Jewish Neo-Aramaic,Barzani Jewish Neo-Aramaic language,regular
Bidyogo,Bidyogo language,regular
Kannauji,Kannauji language,regular
Barok,Barok language,regular
Bulu (New Guinea),Bulu (New Guinea) language,regular
Bajelani,Bajelani language,regular
Banjarese,Banjarese language,regular
Mid-Southern Banda,Mid-Southern Banda language,regular
Fanamaket,Fanamaket language,regular
Bajan,Bajan language,regular
Balanta-Ganja,Balanta-Ganja language,regular
Busuu,Busuu language,regular
Bedjond,Bedjond language,regular
Bakwé,Bakwé language,regular
Banao Itneg,Banao Itneg language,regular
Bayali,Bayali language,regular
Baruga,Baruga language,regular
Kyak,Kyak language,regular
Baka,Baka language,regular
Beeke,Beeke language,regular
Buraka,Buraka language,regular
Bakoko,Bakoko language,regular
Baki,Baki language,regular
Pande,Pande language,regular
Kom (Cameroon),Kom (Cameroon) language,regular
Bukitan,Bukitan language,regular
Kwa',Kwa' language,regular
Iboko,Iboko language,regular
Bakumpai,Bakumpai language,regular
Masbate Sorsogon,Masbate Sorsogon language,regular
Boloki,Boloki language,regular
Buhid,Buhid language,regular
Bekwarra,Bekwarra language,regular
Bekwel,Bekwel language,regular
Baikeno,Baikeno language,regular
Bokyi,Bokyi language,regular
Bungku,Bungku language,regular
Bolango,Bolango language,regular
Balanta-Kentohe,Balanta-Kentohe language,regular
Buol,Buol language,regular
Balau,Balau language,regular
Kuwaa,Kuwaa language,regular
Bolongan,Bolongan language,regular
Pa'o Karen,Pa'o Karen language,regular
Beli,Beli language,regular
Southern Catanduanes Bicolano,Southern Catanduanes Bicolano language,regular
Anii,Anii language,regular
Blablanga,Blablanga language,regular
Baluan-Pam,Baluan-Pam language,regular
Blang,Blang language,regular
Balaesang,Balaesang language,regular
Tai Dam,Tai Dam language,regular
Kibala,Kibala language,regular
Mag-Indi Ayta,Mag-Indi Ayta language,regular
Notre,Notre language,regular
Lame,Lame language,regular
Bembe,Bembe language,regular
Biem,Biem language,regular
Baga Manduri,Baga Manduri language,regular
Limassa,Limassa language,regular
Bom,Bom language,regular
Bamwe,Bamwe language,regular
Kein,Kein language,regular
Bote-Majhi,Bote-Majhi language,regular
Ghayavi,Ghayavi language,regular
Bomboli,Bomboli language,regular
Bina,Bina language,regular
Bambalang,Bambalang language,regular
Bulgebi,Bulgebi language,regular
Bomu,Bomu language,regular
Biao Mon,Biao Mon language,regular
Somba-Siawari,Somba-Siawari language,regular
Bum,Bum language,regular
Bomwali,Bomwali language,regular
Baimak,Baimak language,regular
Baramu,Baramu language,regular
Bonerate,Bonerate language,regular
Bookan,Bookan language,regular
Banda,Banda language,regular
Bintauna,Bintauna language,regular
Masiwang,Masiwang language,regular
Bangi,Bangi language,regular
Eastern Tawbuid,Eastern Tawbuid language,regular
Bierebo,Bierebo language,regular
Boon,Boon language,regular
Batanga,Batanga language,regular
Bunun,Bunun language,regular
Asi,Asi language,regular
Bola,Bola language,regular
Butmas-Tur,Butmas-Tur language,regular
Bundeli,Bundeli language,regular
Balong,Balong language,regular
Boma Nkuu,Boma Nkuu language,regular
Boma Yumu,Boma Yumu language,regular
Bwala,Bwala language,regular
Chimwiini,Chimwiini language,regular
Indanga,Indanga language,regular
Lala (South Africa),Lala (South Africa) language,regular
Mpiin,Mpiin language,regular
Mpuono,Mpuono language,regular
Proto-Nguni,Proto-Nguni language,reconstructed
Phuthi,Phuthi language,regular
Proto-Bantu,Proto-Bantu language,reconstructed
South Boma,South Boma language,regular
Proto-Sotho-Tswana,Proto-Sotho-Tswana language,reconstructed
Bentong,Bentong language,regular
Beneraf,Beneraf language,regular
Bisis,Bisis language,regular
Bangubangu,Bangubangu language,regular
Bintulu,Bintulu language,regular
Beezen,Beezen language,regular
Aweer,Aweer language,regular
Mundabli,Mundabli language,regular
Bolon,Bolon language,regular
Bamako Sign Language,Bamako Sign Language,regular
North Boma,North Boma language,regular
Anjam,Anjam language,regular
Bonjo,Bonjo language,regular
Berom,Berom language,regular
Bine,Bine language,regular
Tiemacèwè Bozo,Tiemacèwè Bozo language,regular
Bonkiman,Bonkiman language,regular
Bogaya,Bogaya language,regular
Borôro,Borôro language,regular
Bondei,Bondei language,regular
Tuwuli,Tuwuli language,regular
Rema,Rema language,regular
Buamu,Buamu language,regular
Bodo (Central Africa),Bodo (Central Africa) language,regular
Daakaka,Daakaka language,regular
Banda-Banda,Banda-Banda language,regular
Bonggo,Bonggo language,regular
Botlikh,Botlikh language,regular
Bagupi,Bagupi language,regular
Binji,Binji language,regular
Orowe,Orowe language,regular
Broome Pearling Lugger Pidgin,Broome Pearling Lugger Pidgin language,regular
Biyom,Biyom language,regular
Dzao Min,Dzao Min language,regular
Anasi,Anasi language,regular
Banda Malay,Banda Malay language,regular
Koronadal Blaan,Koronadal Blaan language,regular
Sarangani Blaan,Sarangani Blaan language,regular
Barrow Point,Barrow Point language,regular
Bian Marind,Bian Marind language,regular
Palya Bareli,Palya Bareli language,regular
Bishnupriya Manipuri,Bishnupriya Manipuri language,regular
Bilba,Bilba language,regular
Tchumbuli,Tchumbuli language,regular
Bagusa,Bagusa language,regular
Bung,Bung language,regular
Baga Kaloum,Baga Kaloum language,regular
Bago-Kusuntu,Bago-Kusuntu language,regular
Baima,Baima language,regular
Bakhtiari,Bakhtiari language,regular
Bandial,Bandial language,regular
Banda-Mbrès,Banda-Mbrès language,regular
Bilakura,Bilakura language,regular
Wumboko,Wumboko language,regular
Bulgarian Sign Language,Bulgarian Sign Language,regular
Balo,Balo language,regular
Biritai,Biritai language,regular
Burusu,Burusu language,regular
Bosngun,Bosngun language,regular
Bamukumbit,Bamukumbit language,regular
Boguru,Boguru language,regular
Begbere-Ejar,Begbere-Ejar language,regular
Buru (Nigeria),Buru (Nigeria) language,regular
Baangi,Baangi language,regular
Bengkala Sign Language,Bengkala Sign Language,regular
Bakaka,Bakaka language,regular
Braj,Braj language,regular
Lave,Lave language,regular
Berbice Creole Dutch,Berbice Creole Dutch language,regular
Baraamu,Baraamu language,regular
Mokpwe,Mokpwe language,regular
Bieria,Bieria language,regular
Birgid,Birgid language,regular
Birwa,Birwa language,regular
Brokkat,Brokkat language,regular
Barapasi,Barapasi language,regular
Breri,Breri language,regular
Birao,Birao language,regular
Baras,Baras language,regular
Bitare,Bitare language,regular
Bellari,Bellari language,regular
Bodo (India),Bodo (India) language,regular
Burui,Burui language,regular
Bilbil,Bilbil language,regular
Abinomn,Abinomn language,regular
Brunei Bisaya,Brunei Bisaya language,regular
